Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2020-10-31,-3.67545,-0.177642,0.298171,-0.623157,0.440437,0.77999,0.423152,-0.026286,0.324333,-0.332024,-1.012924,0.177171,-0.204047,0.018165,-0.221679,-0.082675,0.648817,0.375828,-0.05564,0.066953,-0.359211,-0.123214,0.174002,0.064952,-0.3975,-0.09618,-0.014356,-0.719488,-0.045209,0.057877,0.026399,0.117818
2020-11-01,-2.683137,-0.234222,1.679657,-0.939279,-0.47269,-0.82096,0.716553,-0.245705,0.391147,0.520468,0.06817,0.61542,0.025996,0.295448,-0.197961,0.316135,0.546766,-0.50472,-0.864164,-0.047581,-0.010248,-0.236241,-0.012376,-0.257261,0.162476,-0.121707,0.008786,-0.719378,0.046379,0.078902,0.088082,0.103436
2020-11-02,-1.637473,-0.183191,2.546903,0.617888,-0.073042,0.156956,0.051679,1.069655,-0.596659,-0.109676,-0.866531,-0.284374,-0.704982,-1.085612,0.911457,-0.701124,0.816682,-0.813065,0.00629,0.614342,-0.171077,0.252509,0.571651,-0.330196,0.134244,0.001764,0.040077,-0.506796,0.048354,0.047117,-0.060655,0.12707
2020-11-03,-3.256036,-0.141197,0.351332,0.205849,1.261047,-1.079396,0.881288,1.036484,0.139992,0.869036,0.064984,-0.017796,-1.033257,-0.412174,0.035505,-0.697527,0.79933,0.117561,-0.159918,-0.053391,-0.255163,-0.089894,0.182331,-0.086992,-0.180328,-0.088134,0.078918,-0.561147,-0.032413,0.065607,0.029903,0.047655
2020-11-04,-3.604883,-0.068328,0.434498,-0.478306,0.087351,1.017767,0.342964,0.152906,0.338292,-0.168588,-1.092894,0.379738,-0.249882,0.085455,-0.275996,-0.074242,0.809786,0.53853,0.031329,0.011072,0.019064,-0.090544,0.189847,-0.195108,0.019629,-0.077248,0.151879,-0.636379,-0.068289,0.059497,0.007634,-0.004559
2020-11-05,-7.424629,0.24832,-1.916019,-0.427221,1.200769,2.362787,-2.361807,0.738899,-0.078742,-0.197378,1.70279,-0.84173,-0.607149,1.22848,1.21654,0.347591,0.72817,-0.788923,-0.407479,-0.039308,-1.417007,-0.096436,0.218402,-0.015742,-0.103853,-0.170298,-0.152727,0.022987,0.045285,-0.002241,-0.045351,-0.016072
2020-11-06,-5.955425,0.310314,0.874444,-1.31703,-2.392843,0.271395,-2.253509,0.085138,0.852764,0.348484,2.524144,-0.320536,-1.062618,2.087042,0.827157,0.564296,1.059819,-0.515858,-0.38498,-0.108408,0.976014,0.213349,0.281652,-0.343252,0.07752,-0.049242,-0.086594,-0.081393,-0.036441,0.024301,0.017632,-0.0219
2020-11-07,-2.5021,0.098784,3.223192,-0.470237,-1.148089,0.711221,0.788821,-0.066495,-0.758218,-0.59841,-0.43104,0.134117,-0.144952,-0.366227,-1.132794,-0.184261,0.814667,-0.368937,-0.224314,-0.65032,-0.864594,0.102893,0.186079,-0.0683,-0.242568,-0.064255,0.026695,-0.148884,0.225721,0.017418,-0.091777,-0.05551
2020-11-08,-4.288741,0.070597,0.439406,-1.01168,1.898063,-0.760816,0.982605,-0.337267,-0.356071,0.377222,0.550024,0.185106,0.463872,-0.280103,-0.657372,0.117222,0.667539,-0.056381,-0.119823,-0.110473,-0.038217,-0.005869,0.162427,0.214794,-0.531606,-0.109703,0.197909,-0.27331,0.078427,0.039029,-0.007458,-0.094948
2020-11-09,-2.988867,0.205331,2.24542,0.587764,-0.91171,-1.061988,-0.4602,1.108511,0.045489,1.10804,0.054551,0.312323,-0.218508,-1.069291,0.941168,-0.409625,0.951327,-0.287591,0.328952,0.82469,0.223589,0.20696,0.542934,-0.147572,0.004883,0.041371,0.358195,-0.313682,-0.353102,0.076073,0.03845,-0.132481
